OBJECTID,STATIONID,SEGKEY,SEG_UNITDESC,DETECTORNAME,ROADWAY,x,y
153143,22451,,,76th Ave SE-WB - single,I-90,1293814.68273568,218304.469696417
153144,22457,,,NE 160th St-NB,I-405,1307391.45102172,274572.44402048
153145,22459,,,N Mercer - single,I-90,1300403.09188494,214099.320216313
153146,22465,,,SE 47th,I-405,1306485.35744348,209029.829042971
153147,22470,,,118th Ave SE,I-90,1308062.79810421,214510.959402874
153148,22481,,,104th Ave-WB,SR-520,1302792.13484307,237368.882436931
153149,22483,,,NE 132nd - single,I-405,1306979.80609369,265167.243424743
153150,22494,,,NE 60th,I-405,1306858.9303512,244301.51374881
153151,22495,,,NE 44th St-NB - single,I-405,1303818.00303411,197840.38332808
153152,22496,,,NE 116th St-SB,I-405,1308845.95803724,259260.841195583
153153,22502,,,92nd Ave NE-EB,SR-520,1298830.80623358,236454.780754641
153154,22517,,,NE 85th St-SB,I-405,1307454.20352088,250128.204851314
153155,22518,,,SE 4th,I-405,1306748.21452932,223982.885176823
153156,22523,,,NE 160th St-SB - single,I-405,1307363.86249422,273004.187642559
153157,22533,,,Andover Park E - single,I-405,1289749.92134422,171827.175840169
153158,22534,,,NE 140th,I-405,1306769.03182693,267177.483416721
153159,22546,,,SE 20th,I-405,1307900.97920214,219365.91073297
153160,22551,,,Totem Lake-NB,I-405,1307923.93191214,262852.261998281
153161,22554,,,NE 145th - single,I-405,1306808.22671245,269402.216089949
153162,22562,,,E Channel Bridge - single,I-90,1304606.70265421,214498.794072866
153163,22570,,,NE 40th,I-405,1306754.99314108,238393.224630371
153164,22580,,,E Channel Bridge - single,I-90,1304606.70265421,214498.794072866
153165,22588,,,Bellevue Way-WB,I-90,1306084.76974401,214326.786542878
153166,22606,,,Andover Park E,I-405,1289749.92134422,171827.175840169
153167,22607,,,SE 8th St-SB - single,I-405,1307221.02772412,222807.151389852
153168,22611,,,Jackson Ave SW - single,I-405,1294728.93041505,173523.739868283
153169,22616,,,I-5 - single,I-405,1286785.39110203,172064.438735053
153170,22618,,,Isl Crest Way-WB - single,I-90,1295278.44867297,217365.742079124
153171,22621,,,SE 64th,I-405,1304151.47267558,202723.095839545
153172,22622,573056,SR520 EB BETWEEN MID CHANNEL AND 84TH AVE NE OFF RP,84th Ave NE-WB,SR-520,1296093.63487068,235081.448937669
153173,22625,,,SE 52nd St-SB - single,I-405,1305705.63295306,206818.140142873
153174,22626,,,SE 40th,I-405,1309005.97781233,211977.214470372
153175,22627,,,East Highrise EB - single,I-90,1288878.21007912,218285.7771485
153176,22633,,,NE 24th,I-405,1303184.31622735,189971.453855991
153177,22634,,,NE Park Dr-NB - single,I-405,1303368.71382442,186429.408774748
153178,22636,,,SE 4th,I-405,1306748.21452932,223982.885176823
153179,22637,,,SR 522 - SB - single,I-405,1307415.1899014,275921.874146417
153180,22638,,,W Mercer Way-WB - single,I-90,1290606.61787558,218326.82037349
