AverageTime,CurrentTime,Description,Distance,EndPoint,Name,StartPoint,TimeUpdated,TravelTimeID
17,17,Woodinville to Downtown Seattle,17.25,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Woodinville-Seattle via 520,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'W', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1746912600000-0700)/,60
15,15,Issaquah to Downtown Seattle using HOV lanes,15.56,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Issaquah-Seattle HOV,"{'Description': 'I-90 @ Front St in Issaquah', 'Direction': 'W', 'Latitude': 47.541799, 'Longitude': -122.037396, 'MilePost': 16.96, 'RoadName': '090'}",/Date(1746912600000-0700)/,71
18,18,Downtown Seattle to Issaquah using HOV lanes,14.98,"{'Description': 'I-90 @ Front St in Issaquah', 'Direction': 'E', 'Latitude': 47.541799, 'Longitude': -122.037396, 'MilePost': 16.96, 'RoadName': '090'}",Seattle-Issaquah HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.13, 'RoadName': '005'}",/Date(1746912600000-0700)/,72
17,19,Issaquah to Downtown Seattle,15.56,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Issaquah-Seattle,"{'Description': 'I-90 @ Front St in Issaquah', 'Direction': 'W', 'Latitude': 47.541799, 'Longitude': -122.037396, 'MilePost': 16.96, 'RoadName': '090'}",/Date(1746912600000-0700)/,73
18,19,Downtown Seattle to Issaquah,15.68,"{'Description': 'I-90 @ Front St in Issaquah', 'Direction': 'E', 'Latitude': 47.541799, 'Longitude': -122.037396, 'MilePost': 16.96, 'RoadName': '090'}",Seattle-Issaquah,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,74
14,15,Redmond to Downtown Seattle using HOV lanes,14.81,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Redmond-Seattle HOV,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'W', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.65, 'RoadName': '520'}",/Date(1746912600000-0700)/,77
14,14,Downtown Seattle to Redmond using HOV lanes,14.56,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'E', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.66, 'RoadName': '520'}",Seattle-Redmond HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,78
15,15,Redmond to Downtown Seattle,14.81,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Redmond-Seattle,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'W', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.65, 'RoadName': '520'}",/Date(1746912600000-0700)/,79
14,14,I-5 NB at I-5 @ University St in Seattle (MP 166) to SR 520 EB,14.56,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'E', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.66, 'RoadName': '520'}",Seattle-Redmond,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,80
19,19,Redmond to Downtown Seattle using HOV lanes via I-90,18.34,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Redmond-Seattle via 90 HOV,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'W', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.65, 'RoadName': '520'}",/Date(1746912600000-0700)/,81
